"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
6/20/2020,24433,0,2
6/20/2020,24435,Suppressed*,43
6/20/2020,24437,0,40
6/20/2020,24439,0,38
6/20/2020,24440,8,92
6/20/2020,24441,36,331
6/20/2020,24442,0,4
6/20/2020,24445,0,52
6/20/2020,24448,Suppressed*,16
6/20/2020,24450,11,571
6/20/2020,24457,Suppressed*,28
6/20/2020,24458,Suppressed*,11
6/20/2020,24459,6,26
6/20/2020,24460,0,42
6/20/2020,24464,0,3
6/20/2020,24465,Suppressed*,47
6/20/2020,24467,8,72
6/20/2020,24471,5,78
6/20/2020,24472,Suppressed*,90
6/20/2020,24473,0,20
6/20/2020,24474,0,13
6/20/2020,24476,Suppressed*,18
6/20/2020,24477,27,398
6/20/2020,24479,Suppressed*,54
6/20/2020,24482,10,161
6/20/2020,24483,Suppressed*,14
6/20/2020,24484,0,11
6/20/2020,24485,Suppressed*,11
6/20/2020,24486,23,162
6/20/2020,24487,0,7
6/20/2020,24501,37,1403
6/20/2020,24502,52,1708
6/20/2020,24503,17,864
6/20/2020,24504,8,434
6/20/2020,24517,Suppressed*,264
6/20/2020,24520,Suppressed*,73
6/20/2020,24521,8,544
6/20/2020,24522,24,432
6/20/2020,24523,40,1379
6/20/2020,24526,Suppressed*,85
6/20/2020,24527,5,105
6/20/2020,24528,Suppressed*,132
6/20/2020,24529,Suppressed*,100
6/20/2020,24530,0,38
6/20/2020,24531,8,286
6/20/2020,24534,5,69
6/20/2020,24536,0,8
6/20/2020,24538,Suppressed*,200
6/20/2020,24539,0,15
6/20/2020,24540,47,1242
6/20/2020,24541,34,1104
6/20/2020,24549,Suppressed*,120
6/20/2020,24550,11,303
6/20/2020,24551,24,961
6/20/2020,24553,Suppressed*,91
6/20/2020,24554,Suppressed*,149
6/20/2020,24555,Suppressed*,38
6/20/2020,24556,0,154
6/20/2020,24557,8,267
6/20/2020,24558,7,302
6/20/2020,24562,0,29
6/20/2020,24563,Suppressed*,237
6/20/2020,24565,Suppressed*,37
6/20/2020,24566,6,42
6/20/2020,24569,0,33
6/20/2020,24571,Suppressed*,71
