"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
05/03/2020,Eastern,Probable,2,0,0
05/03/2020,Northern,Confirmed,365,70,17
05/03/2020,Northern,Probable,10,0,1
05/03/2020,Northwest,Confirmed,104,16,5
05/03/2020,Northwest,Probable,9,0,0
05/03/2020,Southwest,Confirmed,18,1,3
05/04/2020,Central,Confirmed,136,10,4
05/04/2020,Central,Probable,1,0,0
05/04/2020,Eastern,Confirmed,131,13,5
05/04/2020,Eastern,Probable,2,0,0
05/04/2020,Northern,Confirmed,651,83,12
05/04/2020,Northern,Probable,33,0,1
05/04/2020,Northwest,Confirmed,116,14,6
05/04/2020,Northwest,Probable,8,0,1
05/04/2020,Southwest,Confirmed,22,4,1
05/04/2020,Southwest,Probable,1,1,0
05/05/2020,Central,Confirmed,113,12,6
05/05/2020,Central,Probable,0,0,1
05/05/2020,Eastern,Confirmed,158,8,8
05/05/2020,Eastern,Probable,5,0,1
05/05/2020,Northern,Confirmed,543,59,28
05/05/2020,Northern,Probable,22,0,0
05/05/2020,Northwest,Confirmed,104,9,5
05/05/2020,Northwest,Probable,11,0,1
05/05/2020,Southwest,Confirmed,25,2,1
05/06/2020,Central,Confirmed,190,11,3
05/06/2020,Central,Probable,1,0,0
05/06/2020,Eastern,Confirmed,311,9,7
05/06/2020,Eastern,Probable,9,0,0
05/06/2020,Northern,Confirmed,605,65,13
05/06/2020,Northern,Probable,21,1,1
05/06/2020,Northwest,Confirmed,68,10,4
05/06/2020,Northwest,Probable,12,0,0
05/06/2020,Southwest,Confirmed,22,1,1
05/07/2020,Central,Confirmed,117,9,5
05/07/2020,Central,Probable,3,0,0
05/07/2020,Eastern,Confirmed,132,5,5
05/07/2020,Eastern,Probable,6,0,1
05/07/2020,Northern,Confirmed,514,50,26
05/07/2020,Northern,Probable,14,1,0
05/07/2020,Northwest,Confirmed,97,10,6
05/07/2020,Northwest,Probable,5,0,0
05/07/2020,Southwest,Confirmed,32,0,0
05/08/2020,Central,Confirmed,132,14,7
05/08/2020,Central,Probable,1,0,0
05/08/2020,Eastern,Confirmed,84,5,3
05/08/2020,Eastern,Probable,3,1,0
05/08/2020,Northern,Confirmed,640,53,15
05/08/2020,Northern,Probable,10,1,3
05/08/2020,Northwest,Confirmed,123,12,3
05/08/2020,Northwest,Probable,14,0,0
05/08/2020,Southwest,Confirmed,27,2,2
05/08/2020,Southwest,Probable,1,0,0
05/09/2020,Central,Confirmed,87,7,1
05/09/2020,Central,Probable,1,0,0
05/09/2020,Eastern,Confirmed,79,5,6
05/09/2020,Eastern,Probable,1,0,0
05/09/2020,Northern,Confirmed,368,50,15
05/09/2020,Northern,Probable,11,1,3
