"Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations"
2020-05-08,Rappahannock,"Not Reported",2,0
2020-05-08,"Rappahannock Rapidan",Female,219,15
2020-05-08,"Rappahannock Rapidan",Male,233,23
2020-05-08,"Rappahannock Rapidan","Not Reported",9,0
2020-05-08,Richmond,Female,249,36
2020-05-08,Richmond,Male,241,48
2020-05-08,Richmond,"Not Reported",4,1
2020-05-08,Roanoke,Female,56,3
2020-05-08,Roanoke,Male,35,3
2020-05-08,Roanoke,"Not Reported",0,0
2020-05-08,Southside,Female,98,12
2020-05-08,Southside,Male,50,15
2020-05-08,Southside,"Not Reported",0,0
2020-05-08,"Thomas Jefferson",Female,195,34
2020-05-08,"Thomas Jefferson",Male,141,27
2020-05-08,"Thomas Jefferson","Not Reported",1,0
2020-05-08,"Three Rivers",Female,88,15
2020-05-08,"Three Rivers",Male,223,13
2020-05-08,"Three Rivers","Not Reported",0,0
2020-05-08,"Virginia Beach",Female,261,38
2020-05-08,"Virginia Beach",Male,206,46
2020-05-08,"Virginia Beach","Not Reported",2,0
2020-05-08,"West Piedmont",Female,28,2
2020-05-08,"West Piedmont",Male,24,5
2020-05-08,"West Piedmont","Not Reported",0,0
2020-05-08,"Western Tidewater",Female,217,17
2020-05-08,"Western Tidewater",Male,248,37
2020-05-08,"Western Tidewater","Not Reported",1,0
2020-05-09,Alexandria,Female,589,65
2020-05-09,Alexandria,Male,550,74
2020-05-09,Alexandria,"Not Reported",3,0
2020-05-09,Alleghany,Female,79,7
2020-05-09,Alleghany,Male,54,12
2020-05-09,Alleghany,"Not Reported",0,0
2020-05-09,Arlington,Female,652,119
2020-05-09,Arlington,Male,671,141
2020-05-09,Arlington,"Not Reported",9,0
2020-05-09,"Central Shenandoah",Female,558,28
2020-05-09,"Central Shenandoah",Male,474,32
2020-05-09,"Central Shenandoah","Not Reported",8,0
2020-05-09,"Central Virginia",Female,70,6
2020-05-09,"Central Virginia",Male,86,7
2020-05-09,"Central Virginia","Not Reported",0,0
2020-05-09,Chesapeake,Female,188,37
2020-05-09,Chesapeake,Male,137,31
2020-05-09,Chesapeake,"Not Reported",0,0
2020-05-09,Chesterfield,Female,458,29
2020-05-09,Chesterfield,Male,380,37
2020-05-09,Chesterfield,"Not Reported",10,0
2020-05-09,Chickahominy,Female,184,36
2020-05-09,Chickahominy,Male,103,29
2020-05-09,Chickahominy,"Not Reported",4,0
2020-05-09,Crater,Female,153,38
2020-05-09,Crater,Male,113,23
2020-05-09,Crater,"Not Reported",3,2
2020-05-09,"Cumberland Plateau",Female,15,1
2020-05-09,"Cumberland Plateau",Male,13,1
2020-05-09,"Cumberland Plateau","Not Reported",0,0
2020-05-09,"Eastern Shore",Female,348,15
2020-05-09,"Eastern Shore",Male,303,17
2020-05-09,"Eastern Shore","Not Reported",4,0
2020-05-09,Fairfax,Female,2782,388
2020-05-09,Fairfax,Male,2857,525
2020-05-09,Fairfax,"Not Reported",47,4
2020-05-09,Hampton,Female,77,11
2020-05-09,Hampton,Male,60,18
2020-05-09,Hampton,"Not Reported",1,0
2020-05-09,Henrico,Female,622,70
2020-05-09,Henrico,Male,429,80
2020-05-09,Henrico,"Not Reported",3,0
2020-05-09,Lenowisco,Female,19,6
2020-05-09,Lenowisco,Male,22,8
2020-05-09,Lenowisco,"Not Reported",0,0
2020-05-09,"Lord Fairfax",Female,391,32
2020-05-09,"Lord Fairfax",Male,298,30
2020-05-09,"Lord Fairfax","Not Reported",5,0
2020-05-09,Loudoun,Female,574,44
2020-05-09,Loudoun,Male,551,65
2020-05-09,Loudoun,"Not Reported",2,0
2020-05-09,"Mount Rogers",Female,65,6
2020-05-09,"Mount Rogers",Male,71,10
2020-05-09,"Mount Rogers","Not Reported",1,0
2020-05-09,"New River",Female,47,4
2020-05-09,"New River",Male,39,8
2020-05-09,"New River","Not Reported",1,0
2020-05-09,Norfolk,Female,139,26
2020-05-09,Norfolk,Male,150,24
2020-05-09,Norfolk,"Not Reported",1,0
2020-05-09,Peninsula,Female,213,48
2020-05-09,Peninsula,Male,198,58
2020-05-09,Peninsula,"Not Reported",3,0
2020-05-09,Piedmont,Female,95,10
2020-05-09,Piedmont,Male,279,19
2020-05-09,Piedmont,"Not Reported",0,0
2020-05-09,Pittsylvania-Danville,Female,33,12
2020-05-09,Pittsylvania-Danville,Male,23,9
2020-05-09,Pittsylvania-Danville,"Not Reported",0,0
2020-05-09,Portsmouth,Female,91,20
2020-05-09,Portsmouth,Male,108,18
2020-05-09,Portsmouth,"Not Reported",3,0
2020-05-09,"Prince William",Female,1483,153
2020-05-09,"Prince William",Male,1505,158
2020-05-09,"Prince William","Not Reported",34,0
2020-05-09,Rappahannock,Female,370,47
2020-05-09,Rappahannock,Male,355,67
2020-05-09,Rappahannock,"Not Reported",2,0
2020-05-09,"Rappahannock Rapidan",Female,231,15
2020-05-09,"Rappahannock Rapidan",Male,251,23
2020-05-09,"Rappahannock Rapidan","Not Reported",10,0
2020-05-09,Richmond,Female,254,39
2020-05-09,Richmond,Male,254,49
2020-05-09,Richmond,"Not Reported",4,1
2020-05-09,Roanoke,Female,57,3
2020-05-09,Roanoke,Male,36,3
2020-05-09,Roanoke,"Not Reported",0,0
2020-05-09,Southside,Female,103,13
2020-05-09,Southside,Male,51,15
2020-05-09,Southside,"Not Reported",3,0
2020-05-09,"Thomas Jefferson",Female,197,35
2020-05-09,"Thomas Jefferson",Male,145,27
2020-05-09,"Thomas Jefferson","Not Reported",1,0
2020-05-09,"Three Rivers",Female,92,15
2020-05-09,"Three Rivers",Male,228,13
2020-05-09,"Three Rivers","Not Reported",0,0
2020-05-09,"Virginia Beach",Female,267,38
2020-05-09,"Virginia Beach",Male,209,47
2020-05-09,"Virginia Beach","Not Reported",2,0
2020-05-09,"West Piedmont",Female,29,2
2020-05-09,"West Piedmont",Male,25,6
2020-05-09,"West Piedmont","Not Reported",0,0
2020-05-09,"Western Tidewater",Female,223,17
2020-05-09,"Western Tidewater",Male,255,38
2020-05-09,"Western Tidewater","Not Reported",1,0
2020-05-10,Alexandria,Female,618,65
2020-05-10,Alexandria,Male,572,74
2020-05-10,Alexandria,"Not Reported",3,0
2020-05-10,Alleghany,Female,79,7
2020-05-10,Alleghany,Male,54,12
2020-05-10,Alleghany,"Not Reported",0,0
2020-05-10,Arlington,Female,671,120
2020-05-10,Arlington,Male,689,140
2020-05-10,Arlington,"Not Reported",8,0
2020-05-10,"Central Shenandoah",Female,560,28
2020-05-10,"Central Shenandoah",Male,478,32
2020-05-10,"Central Shenandoah","Not Reported",8,0
2020-05-10,"Central Virginia",Female,70,6
2020-05-10,"Central Virginia",Male,86,7
2020-05-10,"Central Virginia","Not Reported",0,0
2020-05-10,Chesapeake,Female,190,37
2020-05-10,Chesapeake,Male,138,31
2020-05-10,Chesapeake,"Not Reported",0,0
2020-05-10,Chesterfield,Female,473,29
2020-05-10,Chesterfield,Male,388,37
2020-05-10,Chesterfield,"Not Reported",10,0
2020-05-10,Chickahominy,Female,188,36
2020-05-10,Chickahominy,Male,106,29
2020-05-10,Chickahominy,"Not Reported",4,0
2020-05-10,Crater,Female,160,40
2020-05-10,Crater,Male,122,24
2020-05-10,Crater,"Not Reported",3,2
2020-05-10,"Cumberland Plateau",Female,16,1
2020-05-10,"Cumberland Plateau",Male,13,1
2020-05-10,"Cumberland Plateau","Not Reported",0,0
2020-05-10,"Eastern Shore",Female,353,15
2020-05-10,"Eastern Shore",Male,314,17
2020-05-10,"Eastern Shore","Not Reported",4,0
2020-05-10,Fairfax,Female,2920,398
2020-05-10,Fairfax,Male,3000,536
2020-05-10,Fairfax,"Not Reported",48,4
2020-05-10,Hampton,Female,81,11
2020-05-10,Hampton,Male,61,18
2020-05-10,Hampton,"Not Reported",2,0
2020-05-10,Henrico,Female,633,71
2020-05-10,Henrico,Male,431,81
2020-05-10,Henrico,"Not Reported",3,0
2020-05-10,Lenowisco,Female,19,6
2020-05-10,Lenowisco,Male,22,8
2020-05-10,Lenowisco,"Not Reported",0,0
2020-05-10,"Lord Fairfax",Female,395,32
2020-05-10,"Lord Fairfax",Male,304,30
2020-05-10,"Lord Fairfax","Not Reported",5,0
2020-05-10,Loudoun,Female,588,47
2020-05-10,Loudoun,Male,568,68
2020-05-10,Loudoun,"Not Reported",3,0
2020-05-10,"Mount Rogers",Female,83,6
2020-05-10,"Mount Rogers",Male,84,11
2020-05-10,"Mount Rogers","Not Reported",1,0
2020-05-10,"New River",Female,47,4
2020-05-10,"New River",Male,40,8
2020-05-10,"New River","Not Reported",1,0
2020-05-10,Norfolk,Female,144,26
2020-05-10,Norfolk,Male,159,24
2020-05-10,Norfolk,"Not Reported",1,0
2020-05-10,Peninsula,Female,219,48
2020-05-10,Peninsula,Male,207,58
2020-05-10,Peninsula,"Not Reported",8,0
2020-05-10,Piedmont,Female,95,10
2020-05-10,Piedmont,Male,278,19
2020-05-10,Piedmont,"Not Reported",0,0
2020-05-10,Pittsylvania-Danville,Female,33,12
2020-05-10,Pittsylvania-Danville,Male,22,9
2020-05-10,Pittsylvania-Danville,"Not Reported",0,0
2020-05-10,Portsmouth,Female,91,20
2020-05-10,Portsmouth,Male,108,18
2020-05-10,Portsmouth,"Not Reported",3,0
2020-05-10,"Prince William",Female,1587,156
2020-05-10,"Prince William",Male,1616,162
2020-05-10,"Prince William","Not Reported",38,0
2020-05-10,Rappahannock,Female,391,47
2020-05-10,Rappahannock,Male,369,69
2020-05-10,Rappahannock,"Not Reported",2,0
2020-05-10,"Rappahannock Rapidan",Female,237,15
2020-05-10,"Rappahannock Rapidan",Male,264,26
2020-05-10,"Rappahannock Rapidan","Not Reported",10,0
2020-05-10,Richmond,Female,261,39
2020-05-10,Richmond,Male,265,50
2020-05-10,Richmond,"Not Reported",4,1
2020-05-10,Roanoke,Female,57,3
2020-05-10,Roanoke,Male,36,3
2020-05-10,Roanoke,"Not Reported",0,0
2020-05-10,Southside,Female,106,13
2020-05-10,Southside,Male,53,16
2020-05-10,Southside,"Not Reported",3,0
2020-05-10,"Thomas Jefferson",Female,199,35
2020-05-10,"Thomas Jefferson",Male,145,27
2020-05-10,"Thomas Jefferson","Not Reported",1,0
2020-05-10,"Three Rivers",Female,94,15
2020-05-10,"Three Rivers",Male,230,13
2020-05-10,"Three Rivers","Not Reported",0,0
2020-05-10,"Virginia Beach",Female,274,38
2020-05-10,"Virginia Beach",Male,215,47
2020-05-10,"Virginia Beach","Not Reported",2,0
2020-05-10,"West Piedmont",Female,30,2
2020-05-10,"West Piedmont",Male,25,6
2020-05-10,"West Piedmont","Not Reported",0,0
2020-05-10,"Western Tidewater",Female,226,17
2020-05-10,"Western Tidewater",Male,255,38
2020-05-10,"Western Tidewater","Not Reported",1,0
2020-05-11,Alexandria,Female,632,65
2020-05-11,Alexandria,Male,589,74
2020-05-11,Alexandria,"Not Reported",3,0
2020-05-11,Alleghany,Female,89,8
2020-05-11,Alleghany,Male,63,14
2020-05-11,Alleghany,"Not Reported",0,0
2020-05-11,Arlington,Female,688,130
2020-05-11,Arlington,Male,703,156
2020-05-11,Arlington,"Not Reported",8,0
2020-05-11,"Central Shenandoah",Female,573,28
2020-05-11,"Central Shenandoah",Male,489,33
2020-05-11,"Central Shenandoah","Not Reported",8,0
2020-05-11,"Central Virginia",Female,70,6
2020-05-11,"Central Virginia",Male,88,7
2020-05-11,"Central Virginia","Not Reported",0,0
2020-05-11,Chesapeake,Female,199,38
2020-05-11,Chesapeake,Male,141,32
2020-05-11,Chesapeake,"Not Reported",0,0
2020-05-11,Chesterfield,Female,475,29
2020-05-11,Chesterfield,Male,388,37
2020-05-11,Chesterfield,"Not Reported",10,0
2020-05-11,Chickahominy,Female,188,36
2020-05-11,Chickahominy,Male,107,29
2020-05-11,Chickahominy,"Not Reported",4,0
2020-05-11,Crater,Female,166,40
2020-05-11,Crater,Male,126,27
2020-05-11,Crater,"Not Reported",3,2
2020-05-11,"Cumberland Plateau",Female,16,1
2020-05-11,"Cumberland Plateau",Male,13,1
2020-05-11,"Cumberland Plateau","Not Reported",0,0
2020-05-11,"Eastern Shore",Female,365,15
2020-05-11,"Eastern Shore",Male,325,17
2020-05-11,"Eastern Shore","Not Reported",4,0
2020-05-11,Fairfax,Female,3082,408
2020-05-11,Fairfax,Male,3146,549
2020-05-11,Fairfax,"Not Reported",48,4
2020-05-11,Hampton,Female,82,11
2020-05-11,Hampton,Male,62,18
2020-05-11,Hampton,"Not Reported",2,0
2020-05-11,Henrico,Female,642,71
2020-05-11,Henrico,Male,438,81
2020-05-11,Henrico,"Not Reported",3,0
2020-05-11,Lenowisco,Female,19,6
2020-05-11,Lenowisco,Male,22,8
2020-05-11,Lenowisco,"Not Reported",0,0
2020-05-11,"Lord Fairfax",Female,399,32
2020-05-11,"Lord Fairfax",Male,309,30
2020-05-11,"Lord Fairfax","Not Reported",5,0
2020-05-11,Loudoun,Female,614,47
2020-05-11,Loudoun,Male,578,69
2020-05-11,Loudoun,"Not Reported",3,0
2020-05-11,"Mount Rogers",Female,90,6
2020-05-11,"Mount Rogers",Male,91,11
2020-05-11,"Mount Rogers","Not Reported",1,0
2020-05-11,"New River",Female,47,4
2020-05-11,"New River",Male,41,8
2020-05-11,"New River","Not Reported",1,0
2020-05-11,Norfolk,Female,146,26
2020-05-11,Norfolk,Male,161,24
2020-05-11,Norfolk,"Not Reported",1,0
2020-05-11,Peninsula,Female,225,50
2020-05-11,Peninsula,Male,213,58
2020-05-11,Peninsula,"Not Reported",5,0
2020-05-11,Piedmont,Female,95,10
2020-05-11,Piedmont,Male,278,19
2020-05-11,Piedmont,"Not Reported",0,0
2020-05-11,Pittsylvania-Danville,Female,34,12
2020-05-11,Pittsylvania-Danville,Male,22,9
2020-05-11,Pittsylvania-Danville,"Not Reported",0,0
2020-05-11,Portsmouth,Female,94,20
2020-05-11,Portsmouth,Male,111,18
2020-05-11,Portsmouth,"Not Reported",3,0
2020-05-11,"Prince William",Female,1730,165
2020-05-11,"Prince William",Male,1786,174
2020-05-11,"Prince William","Not Reported",38,0
2020-05-11,Rappahannock,Female,402,49
2020-05-11,Rappahannock,Male,378,69
2020-05-11,Rappahannock,"Not Reported",2,0
2020-05-11,"Rappahannock Rapidan",Female,248,16
2020-05-11,"Rappahannock Rapidan",Male,276,27
2020-05-11,"Rappahannock Rapidan","Not Reported",10,0
2020-05-11,Richmond,Female,268,41
2020-05-11,Richmond,Male,273,50
2020-05-11,Richmond,"Not Reported",5,1
2020-05-11,Roanoke,Female,63,3
2020-05-11,Roanoke,Male,43,4
2020-05-11,Roanoke,"Not Reported",0,0
2020-05-11,Southside,Female,112,13
2020-05-11,Southside,Male,60,16
2020-05-11,Southside,"Not Reported",3,0
2020-05-11,"Thomas Jefferson",Female,202,35
2020-05-11,"Thomas Jefferson",Male,148,27
2020-05-11,"Thomas Jefferson","Not Reported",1,0
2020-05-11,"Three Rivers",Female,96,15
2020-05-11,"Three Rivers",Male,230,13
2020-05-11,"Three Rivers","Not Reported",1,0
2020-05-11,"Virginia Beach",Female,285,38
2020-05-11,"Virginia Beach",Male,218,47
2020-05-11,"Virginia Beach","Not Reported",2,0
2020-05-11,"West Piedmont",Female,33,2
2020-05-11,"West Piedmont",Male,26,6
2020-05-11,"West Piedmont","Not Reported",0,0
2020-05-11,"Western Tidewater",Female,228,17
2020-05-11,"Western Tidewater",Male,256,38
2020-05-11,"Western Tidewater","Not Reported",1,0
2020-05-12,Alexandria,Female,642,66
2020-05-12,Alexandria,Male,595,79
2020-05-12,Alexandria,"Not Reported",3,0
2020-05-12,Alleghany,Female,89,8
2020-05-12,Alleghany,Male,63,14
2020-05-12,Alleghany,"Not Reported",0,0
2020-05-12,Arlington,Female,696,130
2020-05-12,Arlington,Male,712,158
2020-05-12,Arlington,"Not Reported",8,0
2020-05-12,"Central Shenandoah",Female,575,33
2020-05-12,"Central Shenandoah",Male,492,34
2020-05-12,"Central Shenandoah","Not Reported",8,0
2020-05-12,"Central Virginia",Female,70,6
2020-05-12,"Central Virginia",Male,90,8
2020-05-12,"Central Virginia","Not Reported",0,0
2020-05-12,Chesapeake,Female,200,38
2020-05-12,Chesapeake,Male,143,32
2020-05-12,Chesapeake,"Not Reported",0,0
2020-05-12,Chesterfield,Female,500,31
2020-05-12,Chesterfield,Male,414,38
2020-05-12,Chesterfield,"Not Reported",11,0
2020-05-12,Chickahominy,Female,191,37
2020-05-12,Chickahominy,Male,108,30
2020-05-12,Chickahominy,"Not Reported",4,0
2020-05-12,Crater,Female,173,42
2020-05-12,Crater,Male,137,28
2020-05-12,Crater,"Not Reported",3,2
2020-05-12,"Cumberland Plateau",Female,16,1
2020-05-12,"Cumberland Plateau",Male,13,1
2020-05-12,"Cumberland Plateau","Not Reported",0,0
2020-05-12,"Eastern Shore",Female,371,15
2020-05-12,"Eastern Shore",Male,326,17
2020-05-12,"Eastern Shore","Not Reported",4,0
2020-05-12,Fairfax,Female,3220,421
2020-05-12,Fairfax,Male,3277,562
2020-05-12,Fairfax,"Not Reported",50,4
2020-05-12,Hampton,Female,82,11
2020-05-12,Hampton,Male,63,18
2020-05-12,Hampton,"Not Reported",2,0
2020-05-12,Henrico,Female,653,75
2020-05-12,Henrico,Male,449,82
2020-05-12,Henrico,"Not Reported",4,0
2020-05-12,Lenowisco,Female,19,6
2020-05-12,Lenowisco,Male,22,8
2020-05-12,Lenowisco,"Not Reported",0,0
2020-05-12,"Lord Fairfax",Female,410,34
2020-05-12,"Lord Fairfax",Male,320,30
2020-05-12,"Lord Fairfax","Not Reported",6,0
2020-05-12,Loudoun,Female,619,48
2020-05-12,Loudoun,Male,588,71
2020-05-12,Loudoun,"Not Reported",3,0
2020-05-12,"Mount Rogers",Female,91,6
2020-05-12,"Mount Rogers",Male,92,11
2020-05-12,"Mount Rogers","Not Reported",1,0
2020-05-12,"New River",Female,47,4
2020-05-12,"New River",Male,41,8
2020-05-12,"New River","Not Reported",1,0
2020-05-12,Norfolk,Female,153,26
2020-05-12,Norfolk,Male,165,26
2020-05-12,Norfolk,"Not Reported",1,0
2020-05-12,Peninsula,Female,229,50
2020-05-12,Peninsula,Male,214,58
2020-05-12,Peninsula,"Not Reported",5,0
2020-05-12,Piedmont,Female,95,11
2020-05-12,Piedmont,Male,338,24
2020-05-12,Piedmont,"Not Reported",0,0
2020-05-12,Pittsylvania-Danville,Female,34,12
2020-05-12,Pittsylvania-Danville,Male,24,9
2020-05-12,Pittsylvania-Danville,"Not Reported",0,0
2020-05-12,Portsmouth,Female,96,20
2020-05-12,Portsmouth,Male,113,18
2020-05-12,Portsmouth,"Not Reported",1,0
2020-05-12,"Prince William",Female,1772,169
2020-05-12,"Prince William",Male,1846,188
2020-05-12,"Prince William","Not Reported",29,0
2020-05-12,Rappahannock,Female,415,49
2020-05-12,Rappahannock,Male,388,70
2020-05-12,Rappahannock,"Not Reported",2,0
2020-05-12,"Rappahannock Rapidan",Female,254,16
2020-05-12,"Rappahannock Rapidan",Male,286,30
2020-05-12,"Rappahannock Rapidan","Not Reported",10,0
2020-05-12,Richmond,Female,274,41
2020-05-12,Richmond,Male,286,54
2020-05-12,Richmond,"Not Reported",5,1
2020-05-12,Roanoke,Female,63,3
2020-05-12,Roanoke,Male,45,4
2020-05-12,Roanoke,"Not Reported",0,0
2020-05-12,Southside,Female,115,13
2020-05-12,Southside,Male,64,16
2020-05-12,Southside,"Not Reported",3,0
2020-05-12,"Thomas Jefferson",Female,201,35
2020-05-12,"Thomas Jefferson",Male,152,28
2020-05-12,"Thomas Jefferson","Not Reported",1,0
2020-05-12,"Three Rivers",Female,102,16
2020-05-12,"Three Rivers",Male,241,12
2020-05-12,"Three Rivers","Not Reported",1,0
2020-05-12,"Virginia Beach",Female,287,38
2020-05-12,"Virginia Beach",Male,220,47
2020-05-12,"Virginia Beach","Not Reported",2,0
2020-05-12,"West Piedmont",Female,35,3
2020-05-12,"West Piedmont",Male,27,6
2020-05-12,"West Piedmont","Not Reported",0,0
2020-05-12,"Western Tidewater",Female,230,17
2020-05-12,"Western Tidewater",Male,257,38
2020-05-12,"Western Tidewater","Not Reported",2,0
2020-05-13,Alexandria,Female,673,67
2020-05-13,Alexandria,Male,630,81
2020-05-13,Alexandria,"Not Reported",2,0
2020-05-13,Alleghany,Female,89,8
2020-05-13,Alleghany,Male,64,15
2020-05-13,Alleghany,"Not Reported",0,0
2020-05-13,Arlington,Female,714,135
2020-05-13,Arlington,Male,737,165
2020-05-13,Arlington,"Not Reported",9,0
2020-05-13,"Central Shenandoah",Female,596,38
2020-05-13,"Central Shenandoah",Male,510,36
2020-05-13,"Central Shenandoah","Not Reported",8,0
2020-05-13,"Central Virginia",Female,72,6
2020-05-13,"Central Virginia",Male,95,9
2020-05-13,"Central Virginia","Not Reported",0,0
2020-05-13,Chesapeake,Female,205,40
2020-05-13,Chesapeake,Male,149,35
2020-05-13,Chesapeake,"Not Reported",0,0
2020-05-13,Chesterfield,Female,512,31
2020-05-13,Chesterfield,Male,432,39
2020-05-13,Chesterfield,"Not Reported",11,0
2020-05-13,Chickahominy,Female,192,37
2020-05-13,Chickahominy,Male,119,32
2020-05-13,Chickahominy,"Not Reported",3,0
2020-05-13,Crater,Female,176,42
2020-05-13,Crater,Male,138,28
2020-05-13,Crater,"Not Reported",3,2
2020-05-13,"Cumberland Plateau",Female,15,1
2020-05-13,"Cumberland Plateau",Male,13,1
2020-05-13,"Cumberland Plateau","Not Reported",0,0
2020-05-13,"Eastern Shore",Female,382,15
2020-05-13,"Eastern Shore",Male,333,19
2020-05-13,"Eastern Shore","Not Reported",4,0
2020-05-13,Fairfax,Female,3316,432
2020-05-13,Fairfax,Male,3382,578
2020-05-13,Fairfax,"Not Reported",50,4
2020-05-13,Hampton,Female,82,11
2020-05-13,Hampton,Male,64,18
2020-05-13,Hampton,"Not Reported",2,0
2020-05-13,Henrico,Female,673,80
2020-05-13,Henrico,Male,471,86
2020-05-13,Henrico,"Not Reported",2,0
2020-05-13,Lenowisco,Female,20,7
2020-05-13,Lenowisco,Male,22,8
2020-05-13,Lenowisco,"Not Reported",0,0
2020-05-13,"Lord Fairfax",Female,422,39
2020-05-13,"Lord Fairfax",Male,341,33
2020-05-13,"Lord Fairfax","Not Reported",7,0
2020-05-13,Loudoun,Female,655,56
2020-05-13,Loudoun,Male,625,73
2020-05-13,Loudoun,"Not Reported",3,0
2020-05-13,"Mount Rogers",Female,101,6
2020-05-13,"Mount Rogers",Male,101,11
2020-05-13,"Mount Rogers","Not Reported",1,0
2020-05-13,"New River",Female,46,4
2020-05-13,"New River",Male,40,8
2020-05-13,"New River","Not Reported",1,0
2020-05-13,Norfolk,Female,154,26
2020-05-13,Norfolk,Male,172,26
2020-05-13,Norfolk,"Not Reported",1,0
2020-05-13,Peninsula,Female,231,50
2020-05-13,Peninsula,Male,218,58
2020-05-13,Peninsula,"Not Reported",5,0
2020-05-13,Piedmont,Female,99,11
2020-05-13,Piedmont,Male,383,25
2020-05-13,Piedmont,"Not Reported",0,0
2020-05-13,Pittsylvania-Danville,Female,34,12
2020-05-13,Pittsylvania-Danville,Male,24,9
2020-05-13,Pittsylvania-Danville,"Not Reported",0,0
2020-05-13,Portsmouth,Female,97,21
2020-05-13,Portsmouth,Male,115,18
2020-05-13,Portsmouth,"Not Reported",1,0
2020-05-13,"Prince William",Female,1850,182
2020-05-13,"Prince William",Male,1915,194
2020-05-13,"Prince William","Not Reported",27,0
2020-05-13,Rappahannock,Female,430,49
2020-05-13,Rappahannock,Male,406,73
2020-05-13,Rappahannock,"Not Reported",2,0
2020-05-13,"Rappahannock Rapidan",Female,274,17
2020-05-13,"Rappahannock Rapidan",Male,308,31
2020-05-13,"Rappahannock Rapidan","Not Reported",10,0
2020-05-13,Richmond,Female,284,44
2020-05-13,Richmond,Male,303,57
2020-05-13,Richmond,"Not Reported",5,1
2020-05-13,Roanoke,Female,68,3
2020-05-13,Roanoke,Male,48,4
2020-05-13,Roanoke,"Not Reported",0,0
2020-05-13,Southside,Female,116,13
2020-05-13,Southside,Male,64,16
2020-05-13,Southside,"Not Reported",3,0
2020-05-13,"Thomas Jefferson",Female,202,36
2020-05-13,"Thomas Jefferson",Male,157,29
2020-05-13,"Thomas Jefferson","Not Reported",1,0
2020-05-13,"Three Rivers",Female,104,16
2020-05-13,"Three Rivers",Male,245,12
2020-05-13,"Three Rivers","Not Reported",1,0
2020-05-13,"Virginia Beach",Female,293,38
2020-05-13,"Virginia Beach",Male,224,47
2020-05-13,"Virginia Beach","Not Reported",2,0
2020-05-13,"West Piedmont",Female,37,3
2020-05-13,"West Piedmont",Male,29,7
2020-05-13,"West Piedmont","Not Reported",0,0
2020-05-13,"Western Tidewater",Female,231,17
2020-05-13,"Western Tidewater",Male,258,39
2020-05-13,"Western Tidewater","Not Reported",2,0
2020-05-14,Alexandria,Female,693,69
2020-05-14,Alexandria,Male,654,83
2020-05-14,Alexandria,"Not Reported",2,0
2020-05-14,Alleghany,Female,91,8
2020-05-14,Alleghany,Male,65,15
2020-05-14,Alleghany,"Not Reported",1,0
2020-05-14,Arlington,Female,731,137
2020-05-14,Arlington,Male,760,168
2020-05-14,Arlington,"Not Reported",8,0
2020-05-14,"Central Shenandoah",Female,608,41
2020-05-14,"Central Shenandoah",Male,520,37
2020-05-14,"Central Shenandoah","Not Reported",8,0
2020-05-14,"Central Virginia",Female,72,6
2020-05-14,"Central Virginia",Male,97,9
2020-05-14,"Central Virginia","Not Reported",0,0
2020-05-14,Chesapeake,Female,210,40
2020-05-14,Chesapeake,Male,152,36
2020-05-14,Chesapeake,"Not Reported",0,0
2020-05-14,Chesterfield,Female,531,31
2020-05-14,Chesterfield,Male,463,39
2020-05-14,Chesterfield,"Not Reported",11,0
2020-05-14,Chickahominy,Female,206,37
2020-05-14,Chickahominy,Male,124,34
2020-05-14,Chickahominy,"Not Reported",3,0
2020-05-14,Crater,Female,186,44
2020-05-14,Crater,Male,155,30
2020-05-14,Crater,"Not Reported",3,2
2020-05-14,"Cumberland Plateau",Female,15,1
2020-05-14,"Cumberland Plateau",Male,13,1
2020-05-14,"Cumberland Plateau","Not Reported",0,0
2020-05-14,"Eastern Shore",Female,412,17
2020-05-14,"Eastern Shore",Male,361,21
2020-05-14,"Eastern Shore","Not Reported",4,0
2020-05-14,Fairfax,Female,3463,444
2020-05-14,Fairfax,Male,3519,586
2020-05-14,Fairfax,"Not Reported",53,4
2020-05-14,Hampton,Female,88,11
2020-05-14,Hampton,Male,66,18
2020-05-14,Hampton,"Not Reported",2,0
2020-05-14,Henrico,Female,688,81
2020-05-14,Henrico,Male,484,87
2020-05-14,Henrico,"Not Reported",2,0
2020-05-14,Lenowisco,Female,20,7
2020-05-14,Lenowisco,Male,22,8
2020-05-14,Lenowisco,"Not Reported",0,0
2020-05-14,"Lord Fairfax",Female,432,40
2020-05-14,"Lord Fairfax",Male,354,34
2020-05-14,"Lord Fairfax","Not Reported",7,0
2020-05-14,Loudoun,Female,687,58
2020-05-14,Loudoun,Male,649,73
2020-05-14,Loudoun,"Not Reported",3,0
2020-05-14,"Mount Rogers",Female,102,6
2020-05-14,"Mount Rogers",Male,102,11
2020-05-14,"Mount Rogers","Not Reported",1,0
2020-05-14,"New River",Female,47,4
2020-05-14,"New River",Male,40,8
2020-05-14,"New River","Not Reported",1,0
2020-05-14,Norfolk,Female,161,28
2020-05-14,Norfolk,Male,176,28
2020-05-14,Norfolk,"Not Reported",1,0
2020-05-14,Peninsula,Female,236,50
2020-05-14,Peninsula,Male,224,58
2020-05-14,Peninsula,"Not Reported",3,0
2020-05-14,Piedmont,Female,100,11
2020-05-14,Piedmont,Male,386,25
2020-05-14,Piedmont,"Not Reported",0,0
2020-05-14,Pittsylvania-Danville,Female,36,12
