"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/18/2020,24614,19,514
7/18/2020,24620,5,64
7/18/2020,24622,0,36
7/18/2020,24628,0,12
7/18/2020,24630,0,288
7/18/2020,24631,5,967
7/18/2020,24634,Suppressed*,23
7/18/2020,24635,0,36
7/18/2020,24637,9,165
7/18/2020,24639,12,165
7/18/2020,24641,Suppressed*,269
7/18/2020,24646,0,26
7/18/2020,24649,Suppressed*,76
7/18/2020,24651,Suppressed*,602
7/18/2020,24656,Suppressed*,110
7/18/2020,24657,Suppressed*,11
7/18/2020,"Not Reported",1202,4623
7/18/2020,Out-of-State,0,30270
